store_id,category,region,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_28
S0104,HOME_CARE,WEST,13,26,24,49.14,41.86
S0060,HOME_CARE,SOUTH,33,55,49,46.14,43.36
S0086,GROCERIES,EAST,98,45,89,56.43,73.64
S0070,DAIRY,SOUTH,89,61,131,40.71,59.93
S0072,DAIRY,SOUTH,49,64,52,59.86,51.54
S0102,BEVERAGES,SOUTH,89,122,42,50.86,69.96
S0032,PHARMA,EAST,15,28,54,31.29,34.68
S0106,HOME_CARE,WEST,27,38,47,39.57,49.29
S0012,GROCERIES,CENTRAL,58,100,75,74.14,80.29
S0080,PHARMA,EAST,53,16,43,73.14,53.57
S0072,BEVERAGES,SOUTH,60,94,57,84.14,70.36
S0020,PHARMA,WEST,42,41,93,29.57,29.18
S0028,GROCERIES,NORTH,34,53,48,38.43,58.96
S0030,PHARMA,NORTH,41,37,36,36.14,41.14
S0018,PHARMA,CENTRAL,29,34,23,31.29,38.71
S0033,BEVERAGES,NORTH,28,53,63,65.86,60.46
S0015,SNACKS,WEST,47,38,78,56.71,62.07
S0075,PERSONAL_CARE,EAST,34,69,64,41.71,47.21
S0108,PHARMA,SOUTH,75,37,53,56.71,57.79
S0077,PHARMA,NORTH,29,43,28,30.86,37.75
S0068,PERSONAL_CARE,CENTRAL,75,42,39,46.14,41.18
S0063,PERSONAL_CARE,SOUTH,58,48,89,57.14,60.71
S0039,PHARMA,SOUTH,32,20,21,36.71,37.21
S0109,SNACKS,NORTH,55,47,68,41.0,61.75
S0119,BEVERAGES,EAST,97,55,25,70.43,63.79
S0023,GROCERIES,CENTRAL,115,118,2,57.14,78.96
S0026,SNACKS,NORTH,46,34,32,68.57,66.36
S0103,DAIRY,CENTRAL,31,77,43,68.43,64.64
S0062,PHARMA,SOUTH,65,20,39,31.29,37.43
S0056,GROCERIES,CENTRAL,54,45,69,54.57,52.5
S0064,PHARMA,EAST,66,15,75,51.14,45.32
S0062,PERSONAL_CARE,SOUTH,27,88,14,44.57,48.14
S0028,SNACKS,NORTH,53,54,24,55.43,54.07
S0042,DAIRY,CENTRAL,62,34,40,57.86,51.39
S0040,SNACKS,NORTH,41,52,87,70.71,53.68
S0071,DAIRY,EAST,75,171,101,77.14,70.61
S0030,DAIRY,NORTH,47,52,33,44.71,56.75
S0012,PHARMA,CENTRAL,67,36,20,38.0,47.07
S0071,PERSONAL_CARE,EAST,63,20,47,64.71,56.04
S0040,HOME_CARE,NORTH,24,35,42,31.29,36.07
S0018,HOME_CARE,CENTRAL,39,48,22,38.29,44.36
S0055,DAIRY,NORTH,40,40,63,34.86,42.96
S0036,PERSONAL_CARE,NORTH,47,74,45,54.86,57.57
S0063,PHARMA,SOUTH,50,53,63,49.14,48.0
S0089,BEVERAGES,NORTH,67,38,118,78.57,79.64
S0028,HOME_CARE,NORTH,37,24,41,38.57,34.36
S0006,GROCERIES,NORTH,43,49,103,69.43,65.25
S0090,PERSONAL_CARE,NORTH,53,23,79,52.43,44.61
S0120,HOME_CARE,SOUTH,27,30,45,39.43,42.54
S0004,SNACKS,NORTH,19,126,61,51.0,66.0
S0067,HOME_CARE,SOUTH,60,23,30,51.86,54.14
S0037,PHARMA,CENTRAL,15,78,23,45.29,41.54
S0092,PHARMA,WEST,33,16,32,46.57,48.75
S0114,GROCERIES,SOUTH,140,70,80,80.43,79.71
S0117,GROCERIES,EAST,43,69,34,74.86,67.14
S0036,HOME_CARE,NORTH,83,46,85,51.14,51.68
S0016,PHARMA,WEST,25,72,48,46.43,44.07
S0073,DAIRY,CENTRAL,38,55,29,37.43,44.93
S0115,SNACKS,CENTRAL,38,46,60,61.57,53.96
S0046,PHARMA,NORTH,48,48,32,38.43,45.61
S0074,SNACKS,WEST,24,31,75,55.0,47.46
S0114,DAIRY,SOUTH,67,94,20,68.86,63.5
S0083,HOME_CARE,SOUTH,64,38,49,46.86,48.96
S0087,HOME_CARE,CENTRAL,50,43,23,50.71,55.46
S0012,DAIRY,CENTRAL,99,55,26,55.43,57.04
S0052,BEVERAGES,WEST,178,74,90,76.71,82.0
S0002,SNACKS,NORTH,42,54,30,81.86,68.39
S0066,PERSONAL_CARE,CENTRAL,30,36,66,45.29,44.57
S0094,GROCERIES,SOUTH,84,63,90,58.14,76.5
S0067,PHARMA,SOUTH,27,48,81,46.14,47.32
S0100,HOME_CARE,WEST,50,26,58,46.57,41.21
S0082,BEVERAGES,EAST,32,43,17,56.14,59.64
S0010,GROCERIES,WEST,102,56,67,46.71,53.32
S0016,GROCERIES,WEST,99,43,33,68.0,68.86
S0079,DAIRY,SOUTH,53,80,121,70.29,61.89
S0094,PHARMA,SOUTH,60,40,66,52.43,42.82
S0100,DAIRY,WEST,89,44,41,54.86,55.64
S0018,BEVERAGES,CENTRAL,102,182,38,59.71,67.25
S0081,DAIRY,WEST,37,111,116,50.14,55.39
S0105,PHARMA,NORTH,36,41,23,35.29,42.0
S0050,SNACKS,NORTH,69,68,72,71.14,69.71
S0004,GROCERIES,NORTH,52,39,59,87.86,73.5
S0045,PERSONAL_CARE,CENTRAL,65,50,41,60.0,57.11
S0005,BEVERAGES,CENTRAL,75,64,50,65.57,75.86
S0118,GROCERIES,WEST,129,42,45,85.86,69.29
S0045,HOME_CARE,CENTRAL,36,22,25,40.29,47.46
S0004,PERSONAL_CARE,NORTH,82,87,34,60.29,57.04
S0102,PERSONAL_CARE,SOUTH,30,24,57,59.71,44.07
S0099,HOME_CARE,NORTH,52,50,37,39.71,44.11
S0106,DAIRY,WEST,57,69,72,68.57,64.86
S0031,HOME_CARE,CENTRAL,16,31,20,26.0,33.79
S0022,PERSONAL_CARE,NORTH,22,37,0,33.14,37.61
S0118,SNACKS,WEST,48,41,48,56.57,55.43
S0078,HOME_CARE,NORTH,45,29,22,47.57,48.93
S0058,GROCERIES,WEST,26,85,97,65.71,72.14
S0085,SNACKS,NORTH,61,134,98,65.86,67.11
S0025,DAIRY,SOUTH,54,85,51,58.0,54.29
S0039,SNACKS,SOUTH,75,63,54,65.14,57.11
S0088,PERSONAL_CARE,SOUTH,35,58,45,51.14,56.82
S0002,GROCERIES,NORTH,60,52,120,74.14,67.43
S0023,SNACKS,CENTRAL,66,87,90,64.0,70.5
S0081,PHARMA,WEST,31,28,49,31.71,34.64
S0038,GROCERIES,SOUTH,156,29,80,56.29,64.68
S0015,PHARMA,WEST,63,55,45,38.14,43.96
S0112,GROCERIES,NORTH,34,66,51,69.43,59.11
S0031,BEVERAGES,CENTRAL,35,61,43,45.43,50.43
S0090,DAIRY,NORTH,42,62,59,47.14,48.25
S0073,GROCERIES,CENTRAL,70,65,57,66.0,57.0
S0041,BEVERAGES,SOUTH,118,36,6,69.14,67.54
S0107,PERSONAL_CARE,WEST,47,78,48,61.71,62.25
S0016,HOME_CARE,WEST,48,42,47,37.0,42.14
S0008,SNACKS,NORTH,84,24,22,64.71,64.39
S0068,SNACKS,CENTRAL,33,41,55,68.0,62.96
S0099,SNACKS,NORTH,74,44,45,73.43,64.11
S0084,SNACKS,WEST,82,60,62,73.43,67.5
S0008,HOME_CARE,NORTH,35,34,57,52.43,47.89
S0043,HOME_CARE,SOUTH,30,47,35,57.57,45.64
S0007,GROCERIES,EAST,87,127,28,73.0,70.96
S0049,SNACKS,SOUTH,46,85,35,45.29,53.14
S0116,PHARMA,SOUTH,60,65,61,41.86,45.21
S0019,SNACKS,WEST,121,49,97,67.43,64.46
S0107,GROCERIES,WEST,72,41,125,56.14,75.43
S0067,DAIRY,SOUTH,44,58,42,36.86,49.0
S0065,GROCERIES,SOUTH,20,129,41,64.14,61.25
S0100,BEVERAGES,WEST,61,63,48,56.29,58.36
S0009,SNACKS,NORTH,51,44,81,46.71,63.64
S0022,PHARMA,NORTH,21,27,26,36.86,36.71
S0014,HOME_CARE,EAST,69,97,24,59.29,55.57
S0012,HOME_CARE,CENTRAL,27,90,32,45.14,48.11
S0010,BEVERAGES,WEST,65,18,56,54.71,51.57
S0030,HOME_CARE,NORTH,35,27,38,53.0,38.04
S0083,GROCERIES,SOUTH,77,83,80,62.86,69.25
S0093,GROCERIES,EAST,93,70,67,89.43,85.96
S0093,SNACKS,EAST,80,67,209,88.14,78.14
S0055,PERSONAL_CARE,NORTH,35,27,43,40.43,41.64
S0013,DAIRY,CENTRAL,37,17,44,53.57,52.04
S0092,SNACKS,WEST,45,57,129,67.14,62.54
S0001,HOME_CARE,WEST,33,48,50,38.0,44.14
S0009,PHARMA,NORTH,34,54,39,40.14,36.82
S0041,PHARMA,SOUTH,32,43,29,42.43,37.68
S0107,DAIRY,WEST,58,70,120,60.71,58.43
S0057,PERSONAL_CARE,EAST,49,33,31,40.29,46.54
S0050,GROCERIES,NORTH,63,78,3,65.57,81.61
S0065,PHARMA,SOUTH,50,29,56,49.43,41.89
S0052,HOME_CARE,WEST,49,96,55,52.14,55.46
S0113,PHARMA,SOUTH,81,33,24,40.43,39.71
S0088,DAIRY,SOUTH,33,52,59,59.43,57.07
S0047,DAIRY,NORTH,21,47,114,54.29,58.11
S0024,SNACKS,SOUTH,44,80,28,69.43,67.0
S0093,PERSONAL_CARE,EAST,18,39,43,57.86,49.39
S0090,HOME_CARE,NORTH,43,44,41,36.43,39.07
S0069,SNACKS,CENTRAL,81,30,63,40.0,45.64
S0005,GROCERIES,CENTRAL,62,106,115,61.57,65.04
S0094,BEVERAGES,SOUTH,41,122,48,58.86,63.0
S0055,SNACKS,NORTH,76,42,38,59.14,53.71
S0047,SNACKS,NORTH,55,45,73,74.0,67.64
S0061,SNACKS,EAST,105,29,107,72.0,75.32
S0104,PERSONAL_CARE,WEST,86,40,26,40.86,44.11
S0027,BEVERAGES,CENTRAL,59,48,74,68.29,61.54
S0002,HOME_CARE,NORTH,22,35,13,53.29,44.32
S0073,SNACKS,CENTRAL,62,105,29,56.57,55.32
S0101,DAIRY,CENTRAL,44,39,37,49.86,52.32
S0057,PHARMA,EAST,47,21,47,36.0,38.36
S0057,GROCERIES,EAST,58,75,50,49.0,60.68
S0084,BEVERAGES,WEST,62,46,27,47.86,62.86
S0052,PHARMA,WEST,96,28,46,31.0,41.79
S0119,SNACKS,EAST,68,71,51,72.0,64.43
S0079,BEVERAGES,SOUTH,43,130,62,62.57,73.68
S0081,SNACKS,WEST,76,31,66,46.86,53.21
S0066,BEVERAGES,CENTRAL,54,42,50,57.57,54.18
S0032,SNACKS,EAST,47,109,39,47.43,57.64
S0097,SNACKS,SOUTH,50,26,62,45.0,44.04
S0109,PERSONAL_CARE,NORTH,35,12,24,61.43,44.68
S0087,SNACKS,CENTRAL,85,43,83,63.0,72.96
S0076,DAIRY,WEST,28,89,62,61.71,57.57
S0067,GROCERIES,SOUTH,71,135,152,78.0,76.18
S0091,BEVERAGES,EAST,33,71,46,61.86,62.61
S0049,BEVERAGES,SOUTH,43,54,70,59.71,57.71
S0075,PHARMA,EAST,34,23,26,44.0,40.0
S0065,HOME_CARE,SOUTH,9,61,31,38.0,41.39
S0105,HOME_CARE,NORTH,52,31,42,50.14,42.93
S0116,BEVERAGES,SOUTH,57,25,80,66.0,66.93
S0120,BEVERAGES,SOUTH,32,54,58,45.14,53.61
S0042,PERSONAL_CARE,CENTRAL,58,42,77,40.57,45.18
S0044,DAIRY,CENTRAL,86,14,132,70.71,58.64
S0061,HOME_CARE,EAST,27,94,92,37.0,48.71
S0047,PERSONAL_CARE,NORTH,89,57,27,51.57,54.07
S0058,PHARMA,WEST,29,157,43,41.86,50.57
S0119,DAIRY,EAST,47,105,99,70.86,60.25
S0111,PERSONAL_CARE,NORTH,30,31,12,39.0,39.25
S0097,PHARMA,SOUTH,33,28,51,16.71,27.79
S0078,BEVERAGES,NORTH,78,104,114,75.86,64.96
S0058,BEVERAGES,WEST,91,97,37,78.29,71.71
S0062,HOME_CARE,SOUTH,26,50,55,56.29,42.89
S0116,SNACKS,SOUTH,81,13,65,63.43,69.54
S0074,HOME_CARE,WEST,29,69,41,37.57,41.5
S0108,DAIRY,SOUTH,20,50,86,73.43,65.57
S0038,BEVERAGES,SOUTH,24,48,54,60.71,59.36
S0035,HOME_CARE,SOUTH,32,22,19,36.0,38.57
S0034,PHARMA,WEST,34,39,34,30.71,36.46
S0023,HOME_CARE,CENTRAL,27,44,48,71.14,55.32
S0076,GROCERIES,WEST,60,50,50,52.71,56.68
S0066,DAIRY,CENTRAL,31,60,33,48.14,46.5
S0087,PHARMA,CENTRAL,34,60,60,43.43,45.54
S0034,DAIRY,WEST,18,37,34,49.86,45.43
S0055,BEVERAGES,NORTH,44,112,35,56.14,53.61
S0082,DAIRY,EAST,37,14,58,42.29,51.71
S0054,BEVERAGES,NORTH,58,67,48,71.71,55.57
S0084,PERSONAL_CARE,WEST,19,51,57,41.14,50.57
S0068,HOME_CARE,CENTRAL,41,35,92,42.71,39.04
S0086,HOME_CARE,EAST,61,32,51,59.14,46.75
S0098,SNACKS,WEST,47,49,27,50.14,49.0
S0083,SNACKS,SOUTH,59,52,46,74.0,69.39
S0063,BEVERAGES,SOUTH,67,40,55,83.14,81.07
S0078,SNACKS,NORTH,50,34,46,60.14,67.5
S0108,BEVERAGES,SOUTH,104,126,104,73.29,84.32
S0063,DAIRY,SOUTH,70,46,67,61.14,67.96
S0080,BEVERAGES,EAST,60,62,84,72.29,64.93
S0009,DAIRY,NORTH,88,48,44,65.0,57.64
S0053,SNACKS,EAST,92,38,65,59.86,59.36
S0027,PERSONAL_CARE,CENTRAL,23,17,83,62.86,49.54
S0102,PHARMA,SOUTH,49,18,63,34.14,41.07
S0090,PHARMA,NORTH,41,37,21,38.57,43.36
S0008,BEVERAGES,NORTH,78,35,121,74.43,61.57
S0084,DAIRY,WEST,68,54,24,43.71,54.07
S0041,PERSONAL_CARE,SOUTH,55,65,193,70.43,52.71
S0092,PERSONAL_CARE,WEST,45,51,54,60.43,53.0
S0056,DAIRY,CENTRAL,21,63,59,40.29,47.61
S0050,HOME_CARE,NORTH,46,73,50,68.0,58.04
S0082,GROCERIES,EAST,62,51,38,44.57,64.75
S0112,DAIRY,NORTH,38,57,45,53.71,44.25
S0077,PERSONAL_CARE,NORTH,47,54,50,42.57,42.14
S0042,HOME_CARE,CENTRAL,22,15,72,42.0,40.25
S0051,SNACKS,SOUTH,28,60,25,82.86,74.0
S0103,HOME_CARE,CENTRAL,20,34,43,37.57,45.0
S0112,HOME_CARE,NORTH,33,16,47,33.43,41.07
S0040,PHARMA,NORTH,28,49,44,30.43,35.5
S0055,HOME_CARE,NORTH,37,40,31,38.0,40.75
S0081,GROCERIES,WEST,67,72,39,46.29,61.18
S0066,SNACKS,CENTRAL,38,41,58,61.43,59.75
S0052,DAIRY,WEST,79,46,34,58.0,63.46
S0057,SNACKS,EAST,33,36,28,46.29,52.11
S0034,BEVERAGES,WEST,55,50,47,68.86,61.75
S0119,PERSONAL_CARE,EAST,35,35,40,50.0,55.14
S0044,PHARMA,CENTRAL,33,25,15,42.71,39.21
S0117,HOME_CARE,EAST,26,45,76,59.0,48.5
S0052,SNACKS,WEST,18,108,31,74.29,79.64
S0049,PERSONAL_CARE,SOUTH,22,11,46,40.86,35.29
S0001,BEVERAGES,WEST,111,64,61,54.57,65.93
S0020,BEVERAGES,WEST,77,40,67,70.71,56.21
S0063,HOME_CARE,SOUTH,70,31,87,46.14,49.68
S0064,DAIRY,EAST,94,67,57,54.71,64.68
S0013,SNACKS,CENTRAL,51,41,54,57.86,59.39
S0061,BEVERAGES,EAST,102,40,35,78.0,72.29
S0037,DAIRY,CENTRAL,56,32,52,58.43,52.89
S0120,GROCERIES,SOUTH,36,81,58,77.57,64.14
S0029,HOME_CARE,CENTRAL,43,38,18,47.0,38.96
S0015,BEVERAGES,WEST,63,53,43,74.29,67.79
S0097,DAIRY,SOUTH,64,41,34,30.71,38.89
S0018,GROCERIES,CENTRAL,95,39,78,70.71,61.14
S0113,GROCERIES,SOUTH,60,50,70,61.14,64.64
S0038,HOME_CARE,SOUTH,47,42,45,41.57,43.71
S0089,SNACKS,NORTH,53,47,100,68.29,71.46
S0035,PHARMA,SOUTH,39,13,18,33.43,32.68
S0026,DAIRY,NORTH,64,72,61,67.86,64.96
S0096,PHARMA,EAST,52,94,43,57.14,52.46
S0049,GROCERIES,SOUTH,43,18,28,50.14,51.96
S0070,HOME_CARE,SOUTH,36,41,46,52.43,53.79
S0007,PHARMA,EAST,51,40,75,37.71,41.46
S0024,PERSONAL_CARE,SOUTH,71,58,46,55.0,49.25
S0043,PHARMA,SOUTH,52,45,35,40.14,40.21
S0064,SNACKS,EAST,73,58,72,75.14,70.43
S0092,GROCERIES,WEST,84,48,94,61.71,65.04
S0031,DAIRY,CENTRAL,56,39,49,53.29,48.57
S0107,SNACKS,WEST,90,49,116,99.57,71.36
S0099,DAIRY,NORTH,34,32,41,52.71,56.89
S0064,PERSONAL_CARE,EAST,104,73,53,56.0,59.64
S0023,PERSONAL_CARE,CENTRAL,37,68,34,49.57,56.18
S0026,PHARMA,NORTH,42,30,47,47.57,44.82
S0043,BEVERAGES,SOUTH,188,41,34,48.43,61.75
S0003,SNACKS,NORTH,82,60,54,47.86,53.64
S0048,PERSONAL_CARE,CENTRAL,45,54,56,32.86,40.07
S0025,SNACKS,SOUTH,43,37,9,60.14,58.32
S0091,DAIRY,EAST,35,72,70,63.0,56.71
S0111,SNACKS,NORTH,104,55,66,45.43,52.71
S0053,PHARMA,EAST,20,44,19,43.71,42.29
S0033,HOME_CARE,NORTH,17,68,49,49.57,45.29
S0002,PHARMA,NORTH,31,34,46,42.14,42.75
S0069,PHARMA,CENTRAL,12,20,35,35.71,36.57
S0102,HOME_CARE,SOUTH,39,20,38,34.86,38.57
S0014,PERSONAL_CARE,EAST,79,48,49,56.57,57.0
S0046,PERSONAL_CARE,NORTH,49,29,84,50.57,53.25
S0086,PHARMA,EAST,43,76,55,45.29,42.71
S0109,BEVERAGES,NORTH,63,99,64,64.29,63.54
S0085,BEVERAGES,NORTH,161,33,84,78.86,71.64
S0074,GROCERIES,WEST,32,79,64,46.14,52.11
S0115,DAIRY,CENTRAL,50,51,24,60.29,50.14
S0113,SNACKS,SOUTH,62,73,62,78.0,67.43
S0093,PHARMA,EAST,42,32,34,70.57,50.21
S0029,GROCERIES,CENTRAL,50,36,56,47.86,59.11
S0100,SNACKS,WEST,55,82,57,54.43,56.82
S0099,BEVERAGES,NORTH,65,57,45,70.14,71.0
S0038,PHARMA,SOUTH,48,33,58,38.0,40.18
S0056,PHARMA,CENTRAL,24,25,34,23.86,31.04
S0079,PERSONAL_CARE,SOUTH,54,39,36,56.29,53.07
S0022,SNACKS,NORTH,35,14,86,56.29,49.0
S0065,DAIRY,SOUTH,105,55,23,47.71,57.21
S0070,BEVERAGES,SOUTH,62,41,59,50.57,58.46
S0020,SNACKS,WEST,66,46,37,63.71,52.64
S0078,PERSONAL_CARE,NORTH,47,49,77,62.14,56.18
S0077,GROCERIES,NORTH,96,45,55,57.0,62.89
S0042,BEVERAGES,CENTRAL,101,87,56,46.43,63.25
S0112,PERSONAL_CARE,NORTH,38,41,44,48.29,45.18
S0060,SNACKS,SOUTH,44,90,63,59.71,57.5
S0104,PHARMA,WEST,58,57,29,40.71,37.11
S0014,PHARMA,EAST,80,74,70,45.71,51.36
S0082,PHARMA,EAST,39,30,46,38.14,37.25
S0045,PHARMA,CENTRAL,59,30,22,51.86,46.36
S0070,SNACKS,SOUTH,133,66,90,72.29,72.18
S0014,SNACKS,EAST,110,60,59,60.0,72.5
S0105,GROCERIES,NORTH,58,100,49,75.29,75.61
S0001,DAIRY,WEST,79,39,38,61.86,52.79
S0049,PHARMA,SOUTH,14,48,81,32.29,29.82
S0080,SNACKS,EAST,29,33,38,88.14,68.39
S0118,DAIRY,WEST,22,27,62,45.0,48.36
S0010,DAIRY,WEST,26,52,57,56.0,49.64
S0090,BEVERAGES,NORTH,35,58,85,60.71,59.36
S0041,DAIRY,SOUTH,36,55,92,72.86,64.71
S0012,SNACKS,CENTRAL,95,48,46,57.14,64.07
S0106,SNACKS,WEST,47,48,55,69.0,63.86
S0091,SNACKS,EAST,50,58,57,70.57,58.61
S0051,BEVERAGES,SOUTH,42,54,76,91.0,68.39
S0005,PERSONAL_CARE,CENTRAL,37,63,48,54.71,54.82
S0080,HOME_CARE,EAST,36,22,38,49.57,53.64
S0083,PERSONAL_CARE,SOUTH,62,34,52,58.57,64.61
S0046,HOME_CARE,NORTH,25,45,32,46.57,44.93
S0050,BEVERAGES,NORTH,65,77,108,63.0,69.86
S0018,PERSONAL_CARE,CENTRAL,34,83,77,45.29,48.82
S0045,DAIRY,CENTRAL,49,51,42,60.86,61.82
